Date,Value
2010-01-04,1.473099946975708
2010-01-05,1.4726999998092651
2010-01-06,1.4714000225067139
2010-01-07,1.471500039100647
2010-01-08,1.4579999446868896
2010-01-11,1.4501999616622925
2010-01-12,1.4535000324249268
2010-01-13,1.4515999555587769
2010-01-14,1.4549000263214111
2010-01-15,1.4559999704360962
2010-01-18,1.4503999948501587
2010-01-19,1.4555000066757202
2010-01-20,1.4723999500274658
2010-01-21,1.4859000444412231
2010-01-22,1.4884999990463257
2010-01-25,1.4860999584197998
2010-01-26,1.4902000427246094
2010-01-27,1.4986000061035156
2010-01-28,1.496899962425232
2010-01-29,1.4961999654769897
2010-02-01,1.482300043106079
2010-02-02,1.4866000413894653
2010-02-03,1.4918999671936035
2010-02-04,1.520900011062622
2010-02-05,1.5276999473571777
2010-02-08,1.5221999883651733
2010-02-09,1.5069999694824219
2010-02-10,1.5152000188827515
2010-02-11,1.5110000371932983
2010-02-12,1.51419997215271
2010-02-15,1.5156999826431274
2010-02-16,1.5053000450134277
2010-02-17,1.5113999843597412
2010-02-18,1.5254000425338745
2010-02-19,1.511199951171875
2010-02-22,1.5289000272750854
2010-02-23,1.5506000518798828
2010-02-24,1.5470000505447388
2010-02-25,1.5463999509811401
2010-02-26,1.5462000370025635
2010-03-01,1.5356999635696411
2010-03-02,1.5339000225067139
2010-03-03,1.5369000434875488
2010-03-04,1.5507999658584595
2010-03-05,1.5367000102996826
2010-03-08,1.5306999683380127
2010-03-09,1.5327999591827393
2010-03-10,1.5318000316619873
2010-03-11,1.531000018119812
2010-03-12,1.5269999504089355
2010-03-15,1.5262999534606934
2010-03-16,1.5202000141143799
2010-03-17,1.5110000371932983
2010-03-18,1.5257999897003174
2010-03-19,1.5343999862670898
2010-03-22,1.5365999937057495
2010-03-23,1.5369999408721924
2010-03-24,1.5501999855041504
2010-03-25,1.5428999662399292
2010-03-26,1.5348999500274658
2010-03-29,1.5270999670028687
2010-03-30,1.5281000137329102
2010-03-31,1.5155999660491943
2010-04-01,1.5145000219345093
2010-04-02,1.513100028038025
2010-04-05,1.506100058555603
2010-04-06,1.503499984741211
2010-04-07,1.4980000257492065
2010-04-08,1.4943000078201294
2010-04-09,1.4874999523162842
2010-04-12,1.486299991607666
2010-04-13,1.4851000308990479
2010-04-14,1.4742000102996826
2010-04-15,1.4718999862670898
2010-04-16,1.4810999631881714
2010-04-19,1.4901000261306763
2010-04-20,1.48580002784729
2010-04-21,1.4809999465942383
2010-04-22,1.4864000082015991
2010-04-23,1.4807000160217285
2010-04-26,1.4722000360488892
2010-04-27,1.5027999877929688
2010-04-28,1.4957000017166138
2010-04-29,1.4811999797821045
2010-04-30,1.4880000352859497
2010-05-03,1.489799976348877
2010-05-04,1.5202000141143799
2010-05-05,1.534999966621399
2010-05-06,1.5894999504089355
2010-05-07,1.5614999532699585
2010-05-10,1.524999976158142
2010-05-11,1.532099962234497
2010-05-12,1.5227999687194824
2010-05-13,1.5214999914169312
2010-05-14,1.5425000190734863
2010-05-17,1.541700005531311
2010-05-18,1.5612000226974487
2010-05-19,1.5743000507354736
2010-05-20,1.5960999727249146
2010-05-21,1.5755000114440918
2010-05-24,1.5751999616622925
2010-05-25,1.5786999464035034
2010-05-26,1.5855000019073486
2010-05-27,1.5571999549865723
2010-05-28,1.5652999877929688
2010-05-31,1.5717999935150146
2010-06-01,1.5817999839782715
2010-06-02,1.5772000551223755
2010-06-03,1.5844000577926636
2010-06-04,1.6059000492095947
2010-06-07,1.6115000247955322
2010-06-08,1.5993000268936157
2010-06-09,1.6008000373840332
2010-06-10,1.5774999856948853
2010-06-11,1.5750999450683594
2010-06-14,1.5745999813079834
2010-06-15,1.5645999908447266
2010-06-16,1.5597000122070312
2010-06-17,1.5606000423431396
2010-06-18,1.5528000593185425
2010-06-21,1.5566999912261963
2010-06-22,1.5652999877929688
2010-06-23,1.569599986076355
2010-06-24,1.5745999813079834
2010-06-25,1.5720000267028809
2010-06-28,1.573199987411499
2010-06-29,1.590000033378601
2010-06-30,1.5812000036239624
2010-07-01,1.5776000022888184
2010-07-02,1.5615999698638916
2010-07-05,1.5616999864578247
2010-07-06,1.5529999732971191
2010-07-07,1.5506000518798828
2010-07-08,1.5464999675750732
2010-07-09,1.551200032234192
2010-07-12,1.5533000230789185
2010-07-13,1.5422999858856201
2010-07-14,1.5377000570297241
2010-07-15,1.5311000347137451
2010-07-16,1.5390000343322754
2010-07-19,1.5367000102996826
2010-07-20,1.527500033378601
2010-07-21,1.5313999652862549
2010-07-22,1.5168999433517456
2010-07-23,1.5198999643325806
2010-07-26,1.5123000144958496
2010-07-27,1.5087000131607056
2010-07-28,1.5108000040054321
2010-07-29,1.5099999904632568
2010-07-30,1.5047999620437622
2010-08-02,1.4924999475479126
2010-08-03,1.4914000034332275
2010-08-04,1.4914000034332275
2010-08-05,1.4973000288009644
2010-08-06,1.5
2010-08-09,1.4864000082015991
2010-08-10,1.490399956703186
2010-08-11,1.4966000318527222
2010-08-12,1.5233999490737915
2010-08-13,1.5175000429153442
2010-08-16,1.5148999691009521
2010-08-17,1.5081000328063965
2010-08-18,1.4954999685287476
2010-08-19,1.4982999563217163
2010-08-20,1.5081000328063965
2010-08-23,1.5140000581741333
2010-08-24,1.527899980545044
2010-08-25,1.531999945640564
2010-08-26,1.524999976158142
2010-08-27,1.520799994468689
2010-08-30,1.5120999813079834
2010-08-31,1.5232000350952148
2010-09-01,1.5247000455856323
